model,trial,score
pi05_baseline_80k,1,4
pi05_baseline_80k,2,4
pi05_baseline_80k,3,4
pi05_baseline_80k,4,4
pi05_baseline_80k,5,4
pi05_baseline_80k,6,4
pi05_baseline_80k,7,4
pi05_baseline_80k,8,4
pi05_baseline_80k,9,4
pi05_baseline_80k,10,4
pi05_baseline_80k,11,4
pi05_baseline_80k,12,4
pi05_baseline_80k,13,4
pi05_baseline_80k,14,4
pi05_baseline_80k,15,4
pi05_baseline_80k,16,4
pi05_baseline_80k,17,4
pi05_baseline_80k,18,4
pi05_baseline_80k,19,4
pi05_baseline_80k,20,4
pi05_ours,1,3
pi05_ours,2,3
pi05_ours,3,3
pi05_ours,4,3
pi05_ours,5,3
pi05_ours,6,4
pi05_ours,7,4
pi05_ours,8,4
pi05_ours,9,4
pi05_ours,10,4
pi05_ours,11,4
pi05_ours,12,4
pi05_ours,13,4
pi05_ours,14,4
pi05_ours,15,4
pi05_ours,16,4
pi05_ours,17,4
pi05_ours,18,4
pi05_ours,19,4
pi05_ours,20,4
hsr_smolvla_40k,1,2
hsr_smolvla_40k,2,2
hsr_smolvla_40k,3,3
hsr_smolvla_40k,4,3
hsr_smolvla_40k,5,3
hsr_smolvla_40k,6,3
hsr_smolvla_40k,7,3
hsr_smolvla_40k,8,3
hsr_smolvla_40k,9,4
hsr_smolvla_40k,10,4
hsr_smolvla_40k,11,4
hsr_smolvla_40k,12,4
hsr_smolvla_40k,13,4
hsr_smolvla_40k,14,4
hsr_smolvla_40k,15,4
hsr_smolvla_40k,16,4
hsr_smolvla_40k,17,4
hsr_smolvla_40k,18,4
hsr_smolvla_40k,19,4
hsr_smolvla_40k,20,4
